Date,ProductID,Zip,Units,Revenue,Cost,Currency
2021-04-06,1006,550000,34,5381796,4305436,VND
2021-10-14,1005,550000,40,6040795,4832636,VND
2021-06-07,1004,550000,43,6833709,5466967,VND
2021-06-23,1009,550000,40,6118048,4894438,VND
2021-08-27,1003,550000,49,7406647,5925317,VND
2021-08-18,1003,700000,34,5008783,4007026,VND
2021-11-26,1004,100000,39,6279552,5023641,VND
2021-06-02,1009,550000,30,4425840,3540672,VND
2021-11-17,1001,100000,36,5586344,4469075,VND
2021-08-12,1001,700000,40,5939564,4751651,VND
2021-08-09,1010,700000,38,5809705,4647764,VND
2021-11-04,1006,100000,43,6536029,5228823,VND
2021-03-02,1009,100000,43,6719636,5375708,VND
2021-10-23,1009,550000,28,4240487,3392389,VND
2021-06-06,1010,700000,42,6602527,5282021,VND
2021-10-21,1001,100000,29,4537434,3629947,VND
2021-11-16,1007,700000,39,5841974,4673579,VND
2021-08-23,1004,550000,43,6489191,5191352,VND
2021-09-21,1005,700000,38,5734000,4587200,VND
2021-11-17,1010,700000,43,6856109,5484887,VND
2021-04-04,1005,700000,47,7127680,5702144,VND
2021-12-24,1009,100000,33,4875871,3900696,VND
2021-09-01,1004,100000,38,5740519,4592415,VND
2021-07-17,1006,100000,32,4849755,3879804,VND
2021-02-07,1005,550000,24,3511599,2809279,VND
2021-12-08,1001,100000,27,4207143,3365714,VND
2021-06-13,1009,700000,24,3675230,2940184,VND
2021-12-19,1002,100000,43,6580475,5264380,VND
2021-04-06,1008,100000,45,6771235,5416988,VND
2021-12-04,1004,100000,33,5180328,4144262,VND
2021-11-01,1008,550000,31,4718607,3774885,VND
2021-02-19,1002,700000,28,4105884,3284707,VND
2021-03-24,1008,100000,32,4995898,3996718,VND
2021-09-20,1007,100000,28,4453976,3563180,VND
2021-01-08,1004,100000,38,6027324,4821859,VND
2021-06-16,1004,100000,40,5964952,4771961,VND
2021-06-24,1005,700000,42,6599538,5279630,VND
2021-09-19,1010,100000,33,5170868,4136694,VND
2021-05-17,1008,550000,38,5903335,4722668,VND
2021-03-26,1002,700000,30,4693627,3754901,VND
2021-10-03,1002,550000,38,5886948,4709558,VND
2021-12-01,1002,550000,43,6924249,5539399,VND
2021-10-10,1006,100000,33,4932526,3946020,VND
2021-03-21,1006,550000,34,5217509,4174007,VND
2021-05-19,1009,550000,53,7969065,6375252,VND
2021-02-25,1010,700000,37,5686336,4549068,VND
2021-09-15,1007,550000,47,7497455,5997964,VND
2021-12-02,1010,100000,30,4802739,3842191,VND
2021-05-09,1001,100000,38,6100394,4880315,VND
2021-06-05,1006,550000,44,6455246,5164196,VND
2021-10-01,1002,700000,34,5318636,4254908,VND
2021-03-06,1007,700000,44,6772406,5417924,VND
2021-07-06,1006,700000,36,5730369,4584295,VND
2021-03-14,1008,700000,46,7296266,5837012,VND
2021-05-18,1007,700000,39,5955385,4764308,VND
2021-01-06,1001,100000,45,6734402,5387521,VND
2021-06-12,1010,700000,30,4524160,3619328,VND
2021-09-16,1004,100000,38,6075691,4860552,VND
2021-04-22,1007,100000,35,5288063,4230450,VND
2021-07-15,1005,550000,35,5351200,4280960,VND
2021-02-21,1009,700000,50,7441578,5953262,VND
2021-09-25,1004,700000,31,4655101,3724080,VND
2021-10-02,1002,550000,32,4904690,3923752,VND
2021-07-02,1008,100000,33,5319643,4255714,VND
2021-05-22,1001,550000,38,6029832,4823865,VND
2021-10-18,1007,100000,40,6429910,5143928,VND
2021-06-15,1007,100000,30,4426747,3541397,VND
2021-05-11,1002,100000,32,5117255,4093804,VND
2021-12-12,1002,700000,36,5395338,4316270,VND
2021-07-01,1004,100000,49,7760419,6208335,VND
2021-02-01,1007,550000,36,5266346,4213076,VND
2021-05-06,1007,100000,27,4090419,3272335,VND
2021-08-14,1004,550000,51,7462897,5970317,VND
2021-02-04,1006,100000,33,5227416,4181932,VND
2021-06-12,1002,700000,40,6290073,5032058,VND
2021-07-10,1005,550000,27,4283657,3426925,VND
2021-09-06,1004,100000,38,5991463,4793170,VND
2021-04-05,1003,550000,39,5998837,4799069,VND
2021-10-04,1005,100000,30,4550081,3640064,VND
2021-06-12,1010,100000,36,5377653,4302122,VND
